Approx Date,Approx Closing Price,
12/7/2000,466,
12/7/2000,464,
12/7/2000,463,
12/10/2000,461,
12/14/2000,459,
12/18/2000,462,
12/18/2000,461,
12/20/2000,466,
12/20/2000,464,
12/24/2000,468,
12/26/2000,467,
12/28/2000,466,
12/28/2000,463,
12/30/2000,464,
1/3/2001,461,
1/3/2001,460,
1/3/2001,458,
1/5/2001,456,
1/5/2001,454,
1/7/2001,452,
1/8/2001,451,
1/11/2001,446,
1/11/2001,444,
1/11/2001,442,
1/11/2001,441,
1/11/2001,439,
1/11/2001,438,
1/13/2001,434,
1/13/2001,432,
1/13/2001,430,
1/13/2001,429,
1/16/2001,426,
1/16/2001,425,
1/16/2001,423,
1/19/2001,418,
1/19/2001,416,
1/19/2001,415,
1/19/2001,413,
1/19/2001,411,
1/19/2001,410,
1/19/2001,408,
1/19/2001,406,
1/19/2001,405,
1/19/2001,403,
1/19/2001,402,
1/21/2001,399,
1/21/2001,397,
1/21/2001,395,
1/21/2001,394,
1/21/2001,392,
1/21/2001,390,
1/21/2001,389,
1/21/2001,387,
1/21/2001,385,
1/21/2001,384,
1/21/2001,382,
1/21/2001,380,
1/21/2001,379,
1/21/2001,377,
1/23/2001,375,
1/27/2001,391,
1/27/2001,390,
1/27/2001,388,
1/27/2001,386,
1/27/2001,384,
1/27/2001,383,
1/27/2001,381,
1/27/2001,379,
1/27/2001,378,
1/27/2001,377,
1/29/2001,394,
2/1/2001,397,
2/2/2001,396,
2/6/2001,392,
2/6/2001,391,
2/9/2001,390,
2/9/2001,388,
2/12/2001,386,
2/12/2001,384,
2/16/2001,380,
2/16/2001,379,
2/16/2001,377,
2/17/2001,382,
2/19/2001,374,
2/21/2001,376,
2/23/2001,378,
2/24/2001,380,
2/25/2001,386,
2/25/2001,384,
2/25/2001,383,
2/26/2001,376,
3/3/2001,386,
3/3/2001,384,
3/3/2001,383,
3/3/2001,381,
3/3/2001,379,
3/3/2001,378,
3/3/2001,376,
3/3/2001,374,
3/3/2001,373,
3/5/2001,410,
3/5/2001,408,
3/5/2001,406,
3/5/2001,405,
3/5/2001,403,
3/5/2001,401,
3/5/2001,400,
3/5/2001,398,
3/5/2001,396,
3/5/2001,395,
3/5/2001,393,
3/5/2001,391,
3/5/2001,390,
3/5/2001,388,
3/5/2001,372,
3/7/2001,370,
3/10/2001,369,
3/14/2001,367,
3/19/2001,366,
3/23/2001,366,
3/27/2001,368,
3/30/2001,367,
4/2/2001,365,
4/6/2001,364,
4/6/2001,363,
4/6/2001,361,
4/6/2001,360,
4/8/2001,359,
4/8/2001,357,
4/8/2001,355,
4/8/2001,354,
4/11/2001,352,
4/11/2001,350,
4/11/2001,349,
4/11/2001,347,
4/11/2001,345,
4/11/2001,344,
4/11/2001,342,
4/11/2001,341,
4/15/2001,336,
4/15/2001,334,
4/15/2001,332,
4/16/2001,364,
4/16/2001,362,
4/16/2001,360,
4/16/2001,359,
4/16/2001,357,
4/16/2001,355,
4/16/2001,354,
4/16/2001,352,
4/16/2001,350,
4/16/2001,349,
4/16/2001,347,
4/16/2001,345,
4/16/2001,330,
4/18/2001,343,
4/18/2001,341,
4/18/2001,340,
4/18/2001,338,
4/19/2001,334,
4/20/2001,336,
4/24/2001,337,
4/26/2001,339,
